Date	            Water Level	                 Soiloisture
June 14th 2019, 2:19:10 a	0.01	1581
June 14th 2019, 2:20:11 a	0	1497
June 14th 2019, 2:22:11 a	0.08	1575
June 14th 2019, 2:23:09 a	0.03	1555
June 14th 2019, 2:24:10 a	0.08	1576
June 14th 2019, 2:25:10 a	0	1581
June 14th 2019, 2:27:10 a	0.02	1543
June 14th 2019, 2:28:10 a	0.01	1594
June 14th 2019, 2:29:10 a	0.01	1569
June 14th 2019, 2:30:10 a	0.02	1507
June 14th 2019, 2:31:10 a	0.07	1573
June 14th 2019, 2:32:11 a	0.01	1538
June 14th 2019, 2:34:10 a	0.01	1571
June 14th 2019, 2:35:10 a	0.02	1558
June 14th 2019, 2:39:10 a	0.01	1603
June 14th 2019, 2:43:11 a	0.01	1589
June 14th 2019, 2:45:10 a	0.1	1572
June 14th 2019, 2:46:11 a	0.01	1553
June 14th 2019, 2:47:11 a	0.01	1599
June 14th 2019, 2:48:11 a	0.02	1607
June 14th 2019, 2:49:11 a	0.01	1620
June 14th 2019, 2:51:10 a	0.01	1590
June 14th 2019, 2:52:11 a	0.01	1575
June 14th 2019, 2:54:11 a	0.02	1541
June 14th 2019, 2:57:11 a	0.01	1692
June 14th 2019, 2:58:11 a	0.01	1566
June 14th 2019, 2:59:11 a	0.01	1579
June 14th 2019, 3:00:11 a	0.01	1555
June 14th 2019, 3:01:11 a	0	1572
June 14th 2019, 3:02:11 a	0	1590
June 14th 2019, 3:03:11 a	0.01	1588
June 14th 2019, 3:04:11 a	0	1578
June 14th 2019, 3:05:12 a	0.01	1560
June 14th 2019, 3:06:11 a	0	1578
June 14th 2019, 3:08:11 a	0.01	1580
June 14th 2019, 3:09:13 a	0	1555
June 14th 2019, 3:12:12 a	0.03	1476
June 14th 2019, 3:13:12 a	0.01	1604
June 14th 2019, 3:14:11 a	0.02	1560
June 14th 2019, 3:15:11 a	0.03	1581
June 14th 2019, 3:17:13 a	0.02	1584
June 14th 2019, 3:20:12 a	0	1572
June 14th 2019, 3:21:11 a	0.01	1674
June 14th 2019, 3:22:11 a	0.02	1565
June 14th 2019, 3:23:12 a	0.02	1574
June 14th 2019, 3:24:12 a	0.01	1606
June 14th 2019, 3:25:13 a	0.02	1675
June 14th 2019, 3:26:12 a	0.01	1584
June 14th 2019, 3:27:12 a	0.03	1561
June 14th 2019, 3:28:12 a	0.01	1576
June 14th 2019, 3:29:12 a	0.02	1649
June 14th 2019, 3:30:12 a	0.02	1571
June 14th 2019, 3:31:12 a	0.02	1563
June 14th 2019, 3:33:12 a	0.02	1584
June 14th 2019, 3:34:12 a	0.01	1575
June 14th 2019, 3:35:13 a	0.01	1575
